Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
22,Male,Civil,1,6,0,0,0
20,Male,Electronics And Communication,3,8,1,1,1
23,Female,Electrical,0,6,0,0,0
21,Male,Electronics And Communication,1,5.901109546,0,0,0
20,Male,Computer Science,1,8,0,0,1
21,Male,Electronics And Communication,0,7,0,0,1
26,Male,Information Technology,1,8,0,0,1
21,Male,Civil,1,8,0,0,1
25,Male,Computer Science,1,7,0,0,1
22,Male,Computer Science,1,8,0,0,1
21,Male,Computer Science,0,7,0,0,0
22,Male,Computer Science,1,6.04822354,0,0,0
20,Male,Computer Science,1,6,0,0,0
22,Male,Electronics And Communication,0,6.951569216,0,0,0
20,Male,Computer Science,1,8,0,0,1
22,Male,Information Technology,0,8.05248092,0,0,1
22,Male,Mechanical,2,6,1,0,1
21,Male,Computer Science,2,8.048699087,0,0,1
21,Male,Computer Science,1,8,0,0,1
19,Male,Computer Science,1,6,0,0,0
21,Male,Civil,0,8,0,0,1
22,Male,Computer Science,0,5,0,0,0
22,Male,Computer Science,0,6,0,0,0
23,Female,Information Technology,1,5.956632076,1,0,0
21,Female,Mechanical,1,5,1,0,0
21,Female,Mechanical,1,6,1,1,0
23,Male,Computer Science,1,8,0,0,1
21,Female,Computer Science,0,5.932636156,1,0,1
20,Male,Mechanical,0,7,1,1,1
21,Male,Mechanical,0,9.035771149,1,0,1
22,Male,Electronics And Communication,0,7,0,0,0
24,Male,Computer Science,1,5.903346861,0,0,1
21,Male,Computer Science,1,7.084202265,0,0,0
22,Female,Computer Science,1,7,1,0,0
23,Male,Information Technology,0,8,0,0,1
22,Male,Information Technology,0,7.062938829,0,0,0
22,Male,Computer Science,1,5.94666734,0,0,0
22,Male,Computer Science,0,7,0,0,0
22,Male,Mechanical,2,6.096262237,1,0,1
21,Male,Computer Science,3,7.903120231,0,0,1
22,Male,Civil,1,7,0,0,0
20,Male,Electronics And Communication,1,6,0,0,0
21,Male,Computer Science,2,7,0,1,0
22,Male,Information Technology,1,8,1,0,1
21,Male,Electrical,1,6,0,0,0
22,Male,Computer Science,1,7.959442817,0,0,1
22,Male,Electrical,0,7,0,0,0
23,Male,Information Technology,0,6,0,0,0
21,Male,Electronics And Communication,2,7,1,1,1
22,Female,Electrical,0,6.039986802,0,0,1
21,Female,Electronics And Communication,0,7,0,0,0
20,Female,Information Technology,0,6,0,0,0
21,Male,Electronics And Communication,0,7.083047159,0,0,1
21,Male,Electrical,2,7,0,0,1
22,Female,Information Technology,1,6.912296561,1,0,0
21,Male,Electrical,0,7,0,0,0
24,Male,Computer Science,1,7.00789991,0,0,1
22,Male,Civil,1,6,1,0,0
23,Male,Computer Science,0,6,0,0,0
22,Male,Computer Science,2,8.07182176,0,0,1
22,Male,Information Technology,1,5.96641966,0,0,1
22,Male,Mechanical,0,6,1,0,0
20,Male,Electrical,0,8,1,0,1
21,Male,Electronics And Communication,1,7,0,1,1
22,Male,Electronics And Communication,0,6,0,0,0
21,Male,Electrical,0,8,0,0,1
21,Male,Electrical,1,6,0,0,0
19,Female,Computer Science,0,8,1,0,1
22,Male,Mechanical,0,7,1,0,0
20,Male,Information Technology,2,8,0,0,1
21,Male,Computer Science,1,8,0,0,1
22,Male,Information Technology,0,7.009447984,0,1,0
21,Male,Computer Science,2,6.961433053,0,0,1
26,Female,Mechanical,1,6.932161171,1,0,0
21,Male,Information Technology,2,8,0,0,1
22,Male,Mechanical,0,7,1,0,0
21,Female,Information Technology,0,8,0,0,1
21,Male,Computer Science,1,8,0,0,1
22,Male,Computer Science,3,9.01877074,0,0,1
23,Male,Electronics And Communication,0,6.940797373,0,0,0
21,Male,Computer Science,0,6,0,0,0
21,Male,Information Technology,0,7,0,0,0
21,Male,Mechanical,0,6,1,0,0
21,Male,Civil,1,8,0,0,1
21,Female,Electronics And Communication,3,5.935662808,0,0,1
22,Male,Mechanical,0,7,0,0,0
20,Male,Civil,0,6,0,1,0
22,Male,Mechanical,0,7.077166559,1,0,0
21,Male,Computer Science,2,8.971429763,0,1,1
19,Male,Electrical,0,7,0,0,0
20,Male,Information Technology,0,9,0,0,1
22,Male,Information Technology,2,7.970426327,0,0,1
22,Male,Electronics And Communication,1,6.957222237,0,1,0
22,Male,Computer Science,0,9.070531631,0,0,1
19,Male,Electronics And Communication,2,8,0,0,1
22,Male,Computer Science,0,6.050591042,0,0,0
22,Female,Electrical,0,7.958051558,0,0,1
19,Male,Computer Science,2,8,0,0,1
22,Male,Computer Science,1,7,0,0,0
19,Male,Electronics And Communication,1,6,0,1,1
21,Female,Electrical,1,8,0,0,1
21,Male,Electrical,1,8,0,1,1
21,Male,Mechanical,0,8,1,0,1
20,Female,Electrical,1,7,0,1,1
21,Male,Information Technology,1,7,0,0,0
21,Male,Information Technology,1,6,0,0,0
20,Female,Computer Science,0,6,1,0,0
22,Male,Electronics And Communication,1,8,0,0,1
21,Male,Information Technology,0,6,0,1,1
22,Male,Information Technology,1,7.954937543,1,1,1
20,Male,Electrical,0,8,0,0,1
21,Male,Mechanical,2,7.915341624,1,0,1
20,Male,Information Technology,0,8,0,1,1
21,Male,Civil,1,6.961809319,0,0,0
21,Male,Electrical,1,5.939665238,0,0,0
22,Male,Electronics And Communication,1,8.003203271,0,0,1
22,Male,Electronics And Communication,1,7.075936271,1,1,1
24,Male,Information Technology,0,6.978676782,0,0,1
23,Female,Computer Science,1,7,1,0,1
22,Male,Computer Science,0,6,0,0,0
21,Male,Mechanical,0,7.061102446,1,0,0
20,Male,Electrical,0,7.053276304,0,0,0
21,Female,Computer Science,2,8.031188792,1,0,1
23,Male,Information Technology,1,6,0,0,0
19,Male,Civil,1,7,0,0,0
21,Male,Computer Science,0,7,0,1,0
21,Male,Civil,0,6.964285567,0,0,0
21,Male,Mechanical,0,8.035466855,1,1,1
21,Male,Mechanical,1,6,1,0,0
23,Male,Computer Science,1,6.095727777,0,0,1
21,Male,Information Technology,2,7.955178115,0,0,1
23,Male,Computer Science,1,6,0,0,1
22,Male,Computer Science,1,7.011437072,0,0,1
21,Male,Electrical,0,7,0,0,0
21,Male,Information Technology,0,7.004306614,0,0,1
22,Male,Civil,1,5.980348149,0,0,0
22,Male,Civil,0,8.066423823,0,0,1
20,Male,Electrical,0,5,0,0,0
21,Male,Electronics And Communication,0,7,0,0,1
21,Male,Civil,2,7.078327868,1,1,0
22,Male,Information Technology,0,6,0,0,0
22,Male,Mechanical,1,5.921516387,1,0,0
21,Male,Civil,2,8.02303722,0,0,1
22,Male,Computer Science,0,5.01929951,0,0,0
21,Male,Computer Science,0,7,0,1,0
22,Male,Computer Science,1,7,0,0,0
22,Male,Electronics And Communication,1,6,0,0,0
22,Male,Information Technology,2,6,0,0,1
22,Male,Mechanical,1,7.964754113,1,0,1
20,Female,Computer Science,2,6,1,0,1
22,Male,Electrical,1,6.938901025,0,1,0
21,Male,Mechanical,0,7,1,0,0
22,Male,Electronics And Communication,1,7,0,1,0
21,Male,Electrical,2,6.098786025,0,0,1
22,Male,Electrical,1,6.977864644,0,1,0
22,Male,Electronics And Communication,1,7.087255065,0,0,0
20,Male,Information Technology,0,6,0,0,0
20,Male,Mechanical,0,6,1,0,0
22,Female,Computer Science,1,6,1,0,1
19,Male,Information Technology,0,6,0,1,0
21,Male,Information Technology,2,5.966030343,0,0,1
22,Male,Information Technology,1,6.990915138,0,0,0
21,Male,Information Technology,0,8.087182542,0,0,1
21,Male,Computer Science,0,5.986478582,0,1,0
22,Male,Civil,1,6,0,0,0
20,Male,Mechanical,0,8,1,0,1
19,Male,Electronics And Communication,2,8,0,0,1
20,Male,Information Technology,2,8,0,0,1
21,Female,Computer Science,0,7,1,0,0
22,Female,Computer Science,1,7,1,0,0
22,Female,Computer Science,1,8,1,0,1
21,Male,Computer Science,1,7,0,0,0
22,Male,Electrical,1,6,0,1,0
22,Male,Information Technology,1,8,1,0,1
19,Male,Computer Science,1,9,0,0,1
22,Male,Mechanical,0,8,0,0,1
22,Male,Information Technology,0,9.097648041,0,0,1
24,Male,Civil,0,7.9555141,0,0,1
22,Male,Information Technology,0,6,0,1,0
21,Female,Information Technology,1,6.977117922,0,0,0
22,Male,Electrical,0,8,0,0,1
22,Male,Information Technology,0,7,0,1,0
21,Male,Mechanical,1,5.94548795,1,0,0
22,Male,Mechanical,1,8,1,0,1
20,Male,Civil,0,8,0,0,1
21,Male,Mechanical,0,6.094818438,1,0,0
20,Male,Mechanical,0,8,1,1,1
21,Female,Mechanical,1,5.001695557,1,0,0
21,Male,Mechanical,0,7,1,0,0
20,Male,Mechanical,1,7.906290658,0,0,1
21,Female,Information Technology,1,7.929607316,0,0,1
23,Female,Information Technology,1,6,1,0,0
26,Male,Mechanical,0,7,0,1,0
20,Male,Information Technology,3,9,1,0,1
22,Male,Information Technology,1,8,0,0,1
20,Male,Electronics And Communication,1,7,0,0,1
22,Male,Civil,2,7.950142028,0,1,1
19,Male,Electrical,1,6,0,0,0
22,Female,Civil,1,7.959655752,0,1,1
21,Male,Civil,1,7.944284364,0,1,1
21,Male,Electrical,0,9,0,0,1
21,Male,Electrical,1,7,0,0,1
22,Male,Electronics And Communication,1,7.9089245,0,0,1
20,Male,Computer Science,2,7,0,0,1
22,Male,Information Technology,1,8,1,0,1
22,Male,Computer Science,0,8,0,0,1
21,Male,Electronics And Communication,0,6.917496876,0,0,1
25,Male,Computer Science,0,7,0,0,0
22,Male,Mechanical,0,5,0,0,0
20,Female,Information Technology,0,6,0,0,0
21,Male,Electrical,0,8,0,0,1
22,Male,Mechanical,1,8.96448518,1,0,1
22,Male,Electronics And Communication,2,8,0,0,1
21,Male,Information Technology,1,8,0,0,1
19,Male,Electrical,2,7,0,0,1
22,Male,Electronics And Communication,1,6,0,0,0
20,Male,Computer Science,0,8,0,1,1
25,Male,Electrical,0,8.039684306,0,0,1
22,Female,Information Technology,1,8,0,0,1
22,Male,Information Technology,0,7,0,0,1
22,Male,Electrical,1,7,0,0,0
21,Male,Computer Science,1,6,0,0,0
19,Female,Civil,1,8,0,0,1
22,Male,Information Technology,0,8,0,0,1
22,Male,Electronics And Communication,1,5.982505199,1,1,0
20,Male,Information Technology,2,6,0,0,1
22,Male,Electrical,0,5.007507191,0,0,0
22,Male,Computer Science,1,9,0,0,1
22,Male,Electrical,0,7.089882477,1,0,0
22,Male,Mechanical,0,6.987775151,1,0,0
20,Male,Electrical,0,9,0,1,1
24,Male,Computer Science,2,5.914931252,0,0,1
22,Female,Information Technology,1,7,1,0,0
21,Female,Computer Science,0,6.019496618,1,1,0
21,Male,Electrical,0,6.951141872,0,0,0
21,Male,Electronics And Communication,0,8,0,0,1
23,Male,Computer Science,0,8,0,0,1
22,Female,Computer Science,1,8,1,0,1
20,Male,Computer Science,1,7,0,0,1
22,Male,Mechanical,0,9,1,0,1
22,Female,Computer Science,0,5.955376674,1,1,0
23,Male,Civil,0,5.948870344,0,0,1
23,Male,Electrical,1,6.02456102,0,1,0
22,Male,Computer Science,2,7,0,0,1
22,Male,Computer Science,0,8,0,0,1
21,Female,Computer Science,0,7,1,0,0
19,Male,Computer Science,1,7,0,0,1
23,Male,Electrical,0,8,0,0,1
21,Male,Information Technology,0,7,0,0,1
20,Male,Mechanical,0,4.915480463,1,0,0
21,Male,Information Technology,1,8,1,1,1
20,Male,Electrical,1,8,0,0,1
22,Male,Computer Science,1,6.082120031,0,1,0
21,Female,Electrical,1,7,0,0,1
23,Male,Computer Science,1,6,0,0,0
24,Male,Civil,0,8,1,0,1
22,Male,Information Technology,2,7.062925302,0,1,1
21,Male,Electronics And Communication,1,7.932621563,1,1,1
21,Male,Electrical,0,6,0,0,1
21,Male,Electrical,2,7.920939332,0,1,1
21,Female,Information Technology,1,8,0,1,1
22,Female,Computer Science,1,6,1,0,0
21,Male,Electrical,0,8,0,0,1
19,Male,Mechanical,1,5,1,0,0
21,Female,Information Technology,0,6,0,0,0
22,Female,Information Technology,1,8,0,0,1
20,Female,Information Technology,1,7,0,0,0
22,Male,Computer Science,1,8,0,0,1
20,Male,Mechanical,2,6,1,0,1
22,Female,Mechanical,1,6.934320591,1,0,0
19,Male,Computer Science,0,7,0,1,1
20,Male,Civil,2,9,0,0,1
22,Male,Electrical,1,6,1,1,0
21,Male,Information Technology,0,5.979678297,0,1,1
22,Male,Mechanical,1,6.988352959,1,0,0
23,Female,Computer Science,1,8,1,0,1
21,Male,Civil,0,7,1,0,0
21,Female,Computer Science,0,7,1,1,0
21,Female,Computer Science,1,8,1,0,1
20,Male,Information Technology,0,6,0,0,0
20,Male,Information Technology,0,8,0,1,1
19,Male,Electronics And Communication,0,7,0,0,1
22,Male,Computer Science,0,6,0,0,1
24,Male,Computer Science,1,7,0,0,1
22,Female,Electronics And Communication,3,6.05040777,0,0,1
21,Female,Computer Science,2,6.950761804,1,0,1
21,Female,Information Technology,0,7.905066077,0,1,1
22,Male,Computer Science,1,8,0,0,1
23,Female,Electronics And Communication,0,5.997036869,0,0,0
21,Male,Electrical,0,5.981804647,0,0,0
23,Male,Electronics And Communication,0,6,0,1,0
19,Male,Mechanical,1,8,1,1,1
22,Male,Information Technology,2,6,0,0,1
22,Male,Information Technology,0,8.09251898,0,0,1
22,Male,Computer Science,1,7,0,0,0
21,Female,Computer Science,1,8.089175952,1,0,1
22,Male,Electronics And Communication,1,6.912121626,0,0,0
21,Female,Information Technology,1,9,0,0,1
19,Male,Information Technology,1,8,0,0,1
21,Male,Civil,0,8,0,0,1
22,Male,Mechanical,2,7.079481167,1,0,1
24,Male,Mechanical,1,8.024893555,1,1,1
21,Male,Civil,0,4.913145344,0,1,0
21,Female,Electrical,1,7,0,0,1
22,Male,Computer Science,1,5.93937729,0,0,0
22,Male,Electrical,0,8.061456028,0,1,1
20,Male,Information Technology,1,6,0,0,0
22,Female,Mechanical,1,7,1,0,0
20,Male,Mechanical,0,6,1,1,0
22,Female,Electrical,1,7.920004933,0,1,1
21,Male,Civil,2,7,1,0,1
23,Male,Civil,1,7,0,0,0
19,Male,Electrical,0,6,0,0,0
23,Male,Computer Science,1,6.943084267,0,0,0
19,Male,Computer Science,1,7,0,1,1
21,Male,Mechanical,0,8,1,0,1
22,Male,Computer Science,2,8,0,0,1
22,Male,Computer Science,1,7,0,0,1
23,Male,Computer Science,0,6,0,0,0
21,Male,Electronics And Communication,0,7,0,0,1
22,Male,Electronics And Communication,1,8,0,0,1
22,Female,Electrical,0,8,0,0,1
21,Male,Mechanical,0,9,1,0,1
22,Male,Information Technology,2,8,0,0,1
28,Male,Civil,0,7.990028673,1,0,1
22,Female,Computer Science,0,8,1,0,1
21,Male,Electrical,1,8.050627889,0,1,1
20,Female,Information Technology,0,7,0,0,0
22,Male,Information Technology,1,7,0,0,1
21,Female,Electronics And Communication,0,7,0,0,0
22,Female,Information Technology,1,7,0,0,0
23,Male,Mechanical,0,9,1,1,1
19,Male,Electronics And Communication,0,8,0,0,1
21,Male,Civil,2,7.025490353,1,0,1
23,Male,Electronics And Communication,2,8,0,0,1
22,Female,Information Technology,0,6,0,0,0
21,Male,Computer Science,0,7,0,0,0
21,Male,Computer Science,0,8,0,1,1
23,Male,Electronics And Communication,0,8,0,0,1
21,Male,Mechanical,2,5.935026074,1,0,1
23,Male,Computer Science,1,5,0,0,0
24,Male,Information Technology,0,6.085491955,0,0,1
21,Male,Information Technology,1,7.93147144,0,0,1
21,Male,Information Technology,0,5.978305241,0,0,1
22,Female,Information Technology,0,8,0,0,1
21,Male,Information Technology,0,5.991621978,0,0,0
22,Male,Information Technology,1,7,0,1,1
21,Female,Computer Science,0,8,1,1,1
22,Male,Information Technology,0,7,0,0,0
21,Male,Mechanical,2,6,1,0,1
21,Male,Computer Science,2,7.934876441,0,0,1
19,Male,Information Technology,1,8,0,0,1
22,Male,Electronics And Communication,1,8,0,1,1
22,Male,Information Technology,0,6.921449332,0,0,0
21,Male,Computer Science,1,5.947973695,0,0,0
21,Male,Civil,1,6.989350271,0,0,0
23,Male,Information Technology,1,6.037490727,0,0,1
20,Male,Computer Science,0,6,0,0,0
21,Male,Information Technology,0,7,0,0,0
21,Male,Electronics And Communication,0,7,0,0,0
21,Male,Mechanical,0,4.958306887,1,1,0
21,Female,Electronics And Communication,0,7.081110087,0,0,0
22,Male,Electronics And Communication,2,8,0,0,1
21,Male,Civil,0,8,1,0,1
21,Female,Information Technology,0,8,0,0,1
20,Male,Electronics And Communication,1,9,1,1,1
19,Male,Electrical,0,8,0,0,1
21,Male,Computer Science,1,9,0,0,1
20,Male,Information Technology,0,7,0,1,0
20,Female,Civil,1,7,0,0,0
22,Male,Electronics And Communication,0,6.941755043,0,0,1
21,Male,Mechanical,0,7.086194713,1,0,0
20,Male,Electronics And Communication,1,7,0,0,0
21,Male,Electrical,1,8,0,0,1
22,Male,Computer Science,1,8.013100843,0,0,1
21,Male,Mechanical,0,7.973301139,1,1,1
23,Male,Information Technology,0,8.018513066,0,0,1
21,Male,Computer Science,0,5.976404525,0,1,1
20,Male,Computer Science,1,8,0,0,1
21,Male,Electronics And Communication,1,7,0,0,0
26,Male,Electrical,0,5.96832087,0,0,1
22,Male,Computer Science,1,5.93843606,0,0,0
21,Male,Computer Science,1,7,0,0,0
24,Male,Civil,1,7,1,0,0
23,Male,Civil,1,7.078897893,0,0,0
20,Male,Mechanical,1,8,1,0,1
21,Male,Electrical,0,8.088380692,0,0,1
22,Male,Civil,1,6,0,0,0
21,Male,Information Technology,2,9.068243287,0,0,1
21,Male,Mechanical,0,7,1,0,0
21,Female,Civil,1,8,0,1,1
20,Male,Computer Science,1,8,0,0,1
21,Male,Electronics And Communication,0,8,0,1,1
20,Male,Information Technology,1,7,0,0,0
21,Male,Electronics And Communication,1,7,0,0,1
24,Male,Information Technology,0,6,0,0,1
21,Male,Information Technology,2,7.932304265,0,1,1
20,Male,Computer Science,1,8,0,0,1
22,Male,Information Technology,2,8,0,0,1
24,Male,Information Technology,2,6,0,0,1
20,Male,Civil,2,9,0,0,1
21,Male,Computer Science,0,7,0,0,0
21,Male,Electrical,0,6,0,1,0
21,Female,Information Technology,1,6.058510222,1,0,0
22,Male,Electronics And Communication,1,8,0,0,1
19,Male,Civil,1,7,0,0,0
22,Male,Computer Science,1,8,0,0,1
22,Male,Civil,2,5.949074212,1,0,1
21,Male,Mechanical,1,6,1,1,0
21,Male,Electrical,0,5.029791255,0,0,0
22,Male,Electrical,1,8.007448907,0,0,1
22,Male,Computer Science,0,8.090510374,0,0,1
22,Male,Electronics And Communication,1,6,0,0,0
21,Male,Mechanical,0,8,1,0,1
21,Male,Mechanical,0,5,1,1,0
22,Male,Civil,0,4.981406863,0,0,0
22,Male,Civil,0,8,1,0,1
22,Male,Computer Science,1,8,0,1,1
21,Female,Mechanical,1,6,1,0,0
22,Male,Mechanical,0,8.085320996,1,0,1
21,Female,Civil,1,6.976437953,1,0,0
21,Male,Information Technology,1,6.01135529,0,0,1
22,Male,Information Technology,1,6,0,0,0
22,Male,Computer Science,1,6,0,0,0
23,Female,Mechanical,1,7,1,0,0
21,Male,Computer Science,2,6.914258201,0,0,1
22,Male,Mechanical,1,6,0,0,0
21,Male,Computer Science,0,8,0,0,1
21,Female,Electronics And Communication,1,7.987074766,1,1,1
22,Male,Computer Science,0,6,0,0,0
21,Male,Computer Science,1,8,0,0,1
22,Male,Information Technology,0,7,0,0,0
22,Female,Information Technology,0,8.020641152,0,0,1
21,Female,Electronics And Communication,1,8,0,0,1
26,Male,Computer Science,1,7,0,0,1
21,Male,Mechanical,1,9,1,0,1
21,Female,Information Technology,2,8,0,0,1
20,Male,Mechanical,0,8,1,0,1
22,Male,Mechanical,2,7,1,0,0
20,Male,Mechanical,1,8,1,0,1
21,Male,Information Technology,2,7,0,1,0
21,Male,Computer Science,1,7,0,0,0
21,Male,Mechanical,0,6,0,1,0
21,Male,Civil,1,8,0,0,1
22,Male,Mechanical,0,8,0,0,1
22,Male,Computer Science,2,7,0,0,1
22,Male,Mechanical,1,8,1,0,1
22,Male,Computer Science,1,8,0,0,1
21,Male,Information Technology,0,8,0,0,1
22,Male,Computer Science,1,6,0,0,1
22,Male,Mechanical,0,7.925160697,1,0,1
20,Male,Civil,0,8,1,0,1
21,Male,Civil,0,8,0,0,1
22,Male,Computer Science,0,6,0,0,1
21,Male,Electrical,1,8.04775512,0,0,1
22,Male,Computer Science,1,6,0,0,1
22,Male,Electronics And Communication,0,7.094804119,0,0,0
22,Female,Electrical,1,8,0,1,1
22,Male,Electronics And Communication,0,6,0,0,1
23,Male,Electronics And Communication,0,8,0,0,1
22,Male,Civil,0,8,1,0,1
22,Male,Civil,0,8,1,0,1
22,Male,Civil,1,6,0,0,0
22,Male,Information Technology,1,7.949487203,0,0,1
22,Male,Computer Science,1,6,0,0,0
21,Male,Electronics And Communication,0,7,0,0,1
22,Female,Computer Science,3,8,1,0,1
24,Male,Civil,0,7,0,0,1
22,Male,Civil,0,6,0,0,1
19,Male,Electrical,1,8,0,0,1
21,Male,Civil,1,7,0,0,0
26,Male,Information Technology,1,5.929343201,0,0,1
21,Male,Computer Science,1,7,0,0,1
21,Female,Computer Science,1,7.914890341,1,1,1
21,Male,Electronics And Communication,1,9,0,0,1
22,Male,Information Technology,0,6,0,0,1
20,Male,Electrical,1,7,0,1,1
21,Male,Mechanical,0,5.942155963,1,0,0
20,Male,Electrical,1,8,0,1,1
20,Male,Civil,0,8,1,0,1
21,Female,Information Technology,1,7,0,1,0
21,Female,Computer Science,2,7.9940391,1,0,1
19,Female,Electrical,1,7,0,0,1
20,Male,Electrical,0,7,1,0,0
21,Male,Civil,0,6.958443751,0,0,0
21,Male,Computer Science,3,7.918151616,0,0,1
21,Male,Mechanical,0,6,1,0,0
22,Male,Electronics And Communication,1,5.932717275,1,1,0
21,Male,Civil,1,7,1,0,0
21,Female,Information Technology,2,7.984905738,0,1,1
22,Male,Civil,0,9,1,0,1
21,Male,Electrical,1,7,0,1,1
21,Female,Electrical,0,7,1,1,0
22,Male,Computer Science,0,6.908244453,0,0,0
21,Male,Information Technology,2,6.048358837,1,0,1
20,Male,Information Technology,1,8,1,0,1
22,Male,Mechanical,1,8,1,1,1
21,Male,Electrical,0,8,0,0,1
21,Male,Information Technology,2,7,0,0,1
21,Male,Civil,2,7,0,0,0
22,Male,Civil,0,9,0,1,1
20,Male,Computer Science,0,6,0,0,0
19,Male,Information Technology,1,8,0,0,1
20,Male,Information Technology,1,8,1,0,1
21,Male,Information Technology,2,6,0,0,1
20,Male,Computer Science,2,8,0,0,1
22,Male,Mechanical,1,6.02720806,0,0,0
22,Male,Electrical,1,5.908733431,0,0,1
21,Male,Information Technology,0,7.02518356,0,0,1
21,Male,Information Technology,0,8,0,0,1
21,Female,Civil,1,7,0,1,0
26,Female,Computer Science,0,7,1,0,0
23,Male,Computer Science,1,4.952162452,0,0,0
23,Male,Electronics And Communication,0,6,0,0,0
26,Male,Electrical,0,7,1,0,0
22,Male,Information Technology,0,7.052252848,0,0,0
23,Male,Computer Science,0,6,0,0,1
22,Female,Computer Science,2,5.994855858,1,0,1
19,Male,Computer Science,1,7,0,0,0
21,Male,Computer Science,1,8,0,0,1
20,Female,Electronics And Communication,0,7,0,0,1
22,Male,Electronics And Communication,0,6,0,0,1
21,Male,Electronics And Communication,2,8.070684398,0,0,1
21,Male,Computer Science,2,6,0,0,1
22,Male,Electronics And Communication,1,7,0,0,0
22,Male,Electronics And Communication,0,8,0,0,1
20,Male,Mechanical,0,6,1,1,0
22,Male,Electronics And Communication,1,6,0,1,0
21,Male,Computer Science,1,8,0,0,1
22,Male,Electronics And Communication,2,5.943325049,0,0,1
24,Female,Computer Science,1,6.990411166,0,0,0
21,Male,Mechanical,0,8.010468171,1,0,1
22,Male,Information Technology,1,6,1,0,0
19,Male,Electronics And Communication,0,8,0,0,1
21,Male,Electrical,1,6,0,1,0
22,Male,Electronics And Communication,0,6,0,1,0
22,Male,Electronics And Communication,1,7.01329955,0,1,0
21,Male,Information Technology,0,4.906799302,0,1,0
21,Male,Mechanical,0,7.9075225,0,0,1
20,Male,Electronics And Communication,2,8,0,0,1
20,Female,Electrical,1,7,0,1,1
22,Male,Mechanical,0,8.047071072,1,0,1
19,Male,Civil,0,7,0,0,0
22,Male,Civil,0,8,1,0,1
22,Male,Computer Science,1,6.945068502,0,0,1
19,Male,Electronics And Communication,0,7,0,0,1
20,Male,Information Technology,1,7,0,0,0
24,Male,Computer Science,1,4.944560816,0,0,0
22,Female,Information Technology,1,8,1,0,1
22,Male,Information Technology,1,6,0,0,0
23,Male,Information Technology,1,8,0,0,1
20,Male,Computer Science,2,7,0,0,1
22,Male,Information Technology,1,6.963629963,0,0,0
26,Male,Computer Science,1,7.012441595,0,0,1
21,Male,Computer Science,1,8,0,0,1
23,Male,Information Technology,0,6,0,0,0
21,Male,Electrical,1,6,0,0,0
24,Male,Computer Science,1,7,0,0,1
22,Male,Information Technology,0,8.08437403,0,0,1
21,Male,Information Technology,0,4.964428871,0,0,0
22,Male,Computer Science,1,7.936529118,0,0,1
21,Male,Electrical,1,6,1,1,0
23,Male,Electrical,0,7,0,1,0
21,Male,Information Technology,1,6,1,0,0
21,Female,Computer Science,1,6.914041172,1,0,0
21,Female,Computer Science,1,8,1,0,1
22,Male,Mechanical,0,8,1,0,1
24,Male,Computer Science,1,7,0,0,1
19,Male,Electrical,0,8,0,1,1
21,Male,Computer Science,1,6.058682293,0,0,0
21,Male,Civil,0,8,0,0,1
22,Male,Computer Science,1,7,0,1,0
21,Male,Electrical,0,5.980778859,0,0,0
22,Female,Mechanical,1,7,1,0,0
22,Male,Civil,1,7,0,0,0
22,Male,Electronics And Communication,1,7.082921692,0,0,0
24,Male,Computer Science,1,8,0,0,1
21,Female,Information Technology,1,6,0,0,1
22,Male,Mechanical,0,8,1,0,1
21,Male,Information Technology,0,7.081980496,0,0,0
22,Male,Civil,1,6,0,0,0
20,Male,Electrical,0,6,0,0,0
21,Male,Computer Science,1,6,0,0,0
20,Female,Information Technology,1,8,0,0,1
20,Male,Information Technology,1,8,0,0,1
21,Male,Mechanical,2,8,1,1,1
21,Male,Computer Science,1,7,0,0,0
24,Male,Information Technology,1,6.939193326,0,0,0
22,Male,Information Technology,2,8,0,0,1
21,Male,Electrical,0,6.994922517,0,0,0
21,Male,Computer Science,1,7,0,1,0
21,Male,Computer Science,1,7.038468628,0,0,0
24,Male,Computer Science,0,6,0,1,1
21,Male,Information Technology,1,6.05631315,0,0,0
21,Male,Information Technology,1,6,0,0,0
21,Male,Electronics And Communication,1,7,0,1,1
22,Male,Computer Science,1,7,0,0,1
21,Male,Information Technology,0,7,0,0,1
21,Male,Mechanical,3,6,1,0,1
21,Male,Electronics And Communication,0,8.911870171,0,0,1
21,Female,Information Technology,1,7,0,0,1
22,Female,Computer Science,1,4.947751302,1,0,0
21,Male,Information Technology,0,6,0,1,1
22,Female,Computer Science,1,6.034303038,1,0,1
22,Male,Information Technology,1,7.052451395,0,0,0
21,Male,Electrical,0,6.020990175,0,0,0
21,Male,Electronics And Communication,0,6,0,1,0
21,Male,Information Technology,0,7.048373507,0,0,1
21,Male,Computer Science,0,8,0,0,1
22,Male,Computer Science,1,6.048126628,0,0,1
19,Female,Computer Science,1,7,1,0,0
20,Male,Mechanical,3,8,1,0,1
22,Male,Civil,0,6.956545279,1,0,0
21,Male,Computer Science,1,6.953768971,0,0,0
20,Female,Computer Science,2,6.915105864,1,1,0
21,Male,Computer Science,1,7,0,0,0
19,Male,Electronics And Communication,0,7,0,0,1
21,Female,Electronics And Communication,0,5.962575068,0,0,0
22,Male,Computer Science,1,8,0,0,1
23,Male,Information Technology,0,6.927817457,0,0,0
20,Male,Computer Science,0,6,0,0,0
20,Male,Civil,0,8,1,0,1
20,Female,Computer Science,0,8,1,0,1
